"nome_do_estudante","leituras_em_andamento","leituras_concluidas","total_de_leituras","tempo_de_leitura_minutos","questoes_respondidas","questoes_aprovadas","nivel","livros_escutados","tempo_de_escuta","tempo_de_escuta_minutos","nivel_numerico","compreensao_textual","engajamento_leitura","turma","periodo"
"Aluno_01",15,122,137,838.38,0,0,"C",1,"01min 13s",1.22,1,0,89.05,"A","manha"
"Aluno_02",27,141,168,244.7,231,87,"D",91,"2h 08min 49s",128.82,2,37.66,83.93,"A","manha"
"Aluno_03",24,89,113,214.43,273,169,"D",11,"12min 58s",12.97,2,61.9,78.76,"A","manha"
"Aluno_04",1,52,53,187.42,0,0,"C",0,"00s",0,1,0,98.11,"A","manha"
"Aluno_05",11,60,71,180.5,489,190,"A",23,"24min 52s",24.87,1,38.85,84.51,"A","manha"
"Aluno_06",21,86,107,166.13,16,6,"C",68,"1h 24min 02s",84.03,1,37.5,80.37,"A","manha"
"Aluno_07",13,79,92,163.3,269,172,"E",13,"11min 21s",11.35,2,63.94,85.87,"A","manha"
"Aluno_08",26,114,140,144.55,93,45,"D",12,"13min 37s",13.62,2,48.39,81.43,"A","manha"
"Aluno_09",26,75,101,138.65,111,44,"B",55,"1h 12min 22s",72.37,1,39.64,74.26,"A","manha"
"Aluno_10",18,79,97,131.9,87,61,"D",0,"00s",0,2,70.11,81.44,"A","manha"
"Aluno_11",19,90,109,129.97,36,10,"B",25,"26min 05s",26.08,1,27.78,82.57,"A","manha"
"Aluno_12",27,87,114,119.85,77,27,"C",37,"43min 18s",43.3,1,35.06,76.32,"A","manha"
"Aluno_13",21,83,104,112.58,9,0,"J",18,"16min 43s",16.72,2,0,79.81,"A","manha"
"Aluno_14",11,74,85,107.05,129,37,"C",65,"1h 34min 21s",94.35,1,28.68,87.06,"A","manha"
"Aluno_15",10,71,81,105.67,227,74,"C",109,"2h 33min 32s",153.53,1,32.6,87.65,"A","manha"
"Aluno_16",15,55,70,98.17,302,135,"C",52,"1h 16min 22s",76.37,1,44.7,78.57,"A","manha"
"Aluno_17",18,70,88,86.9,96,52,"A",93,"1h 38min 07s",98.12,1,54.17,79.55,"A","manha"
"Aluno_18",17,58,75,84.27,11,1,"C",56,"1h 30min 27s",90.45,1,9.09,77.33,"A","manha"
"Aluno_19",20,50,70,82.55,7,5,"B",61,"1h 22min 40s",82.67,1,71.43,71.43,"A","manha"
